행정기관코드,행정기관,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율
1000000000,전국,51217221,24118928,2.12,25498324,25718897,0.99
1100000000,서울특별시,9331828,4482063,2.08,4505355,4826473,0.93
2600000000,부산광역시,3266598,1570403,2.08,1589912,1676686,0.95
2700000000,대구광역시,2363629,1104130,2.14,1159601,1204028,0.96
2800000000,인천광역시,3021010,1373827,2.20,1509243,1511767,1.00
2900000000,광주광역시,1408422,658075,2.14,695224,713198,0.97
3000000000,대전광역시,1439157,687757,2.09,717291,721866,0.99
3100000000,울산광역시,1098049,495378,2.22,564888,533161,1.06
3600000000,세종특별자치시,390685,163432,2.39,194413,196272,0.99
4100000000,경기도,13694685,6058202,2.26,6882186,6812499,1.01
5100000000,강원특별자치도,1517766,764834,1.98,763025,754741,1.01
4300000000,충청북도,1591177,787756,2.02,809920,781257,1.04
4400000000,충청남도,2136574,1052129,2.03,1096128,1040446,1.05
5200000000,전북특별자치도,1738690,864608,2.01,866030,872660,0.99
4600000000,전라남도,1788819,912412,1.96,902380,886439,1.02
4700000000,경상북도,2531384,1291568,1.96,1280547,1250837,1.02
4800000000,경상남도,3228380,1537492,2.10,1626926,1601454,1.02
5000000000,제주특별자치도,670368,314862,2.13,335255,335113,1.00
